,minLC,maxLC,minNu,maxNu
mp-984050,-1000.0,-1000.0,-1000.0,-1000.0
mp-23178,-1000.0,-1000.0,-1000.0,-1000.0
mp-975794,-1000.0,-1000.0,-1000.0,-1000.0
mp-27475,-1000.0,-1000.0,-1000.0,-1000.0
mp-30500,-1000.0,-1000.0,-1000.0,-1000.0
mp-849060,-1500.0,-1500.0,-1500.0,-1500.0
mp-555293,-1000.0,-1000.0,-1000.0,-1000.0
mp-972352,-1000.0,-1000.0,-1000.0,-1000.0
mp-975990,-1000.0,-1000.0,-1000.0,-1000.0
mp-631404,-1000.0,-1000.0,-1000.0,-1000.0
mp-28116,-1500.0,-1500.0,-1500.0,-1500.0
mp-1023939,-1000.0,-1000.0,-1000.0,-1000.0
mp-865473,-1000.0,-1000.0,-1000.0,-1000.0
mp-11577,-1000.0,-1000.0,-1000.0,-1000.0
mp-111,-1000.0,-1000.0,-1000.0,-1000.0
mp-696114,-1500.0,-1500.0,-1500.0,-1500.0
mp-23250,-1000.0,-1000.0,-1000.0,-1000.0
mp-541013,-1000.0,-1000.0,-1000.0,-1000.0
mp-769661,-1500.0,-1500.0,-1500.0,-1500.0
mp-504594,-1500.0,-1500.0,-1500.0,-1500.0
mp-19395,-1500.0,-1500.0,-1500.0,-1500.0
mp-1,-1000.0,-1000.0,-1000.0,-1000.0
mp-567789,-1500.0,-1500.0,-1500.0,-1500.0
mp-2247,-1000.0,-1000.0,-1000.0,-1000.0
mp-7007,-1000.0,-1000.0,-1000.0,-1000.0
mp-973217,-1000.0,-1000.0,-1000.0,-1000.0
mp-569157,-1000.0,-1000.0,-1000.0,-1000.0
mp-632296,-1000.0,-1000.0,-1000.0,-1000.0
mp-864616,-1000.0,-1000.0,-1000.0,-1000.0
mp-777801,-1500.0,-1500.0,-1500.0,-1500.0
mp-554134,-1000.0,-1000.0,-1000.0,-1000.0
mp-995181,-1000.0,-1000.0,-1000.0,-1000.0
mp-1021328,-1000.0,-1000.0,-1000.0,-1000.0
mp-23154,-1000.0,-1000.0,-1000.0,-1000.0
mp-864617,-1000.0,-1000.0,-1000.0,-1000.0
mp-570510,-1000.0,-1000.0,-1000.0,-1000.0
mp-862800,-1000.0,-1000.0,-1000.0,-1000.0
mp-12103,-1000.0,-1000.0,-1000.0,-1000.0
mp-24504,-1000.0,-1000.0,-1000.0,-1000.0
mp-977375,-1000.0,-1000.0,-1000.0,-1000.0
mp-866003,-1000.0,-1000.0,-1000.0,-1000.0
mp-864662,-1000.0,-1000.0,-1000.0,-1000.0
mp-864657,-1000.0,-1000.0,-1000.0,-1000.0
mp-505000,-1500.0,-1500.0,-1500.0,-1500.0
mp-23155,-1000.0,-1000.0,-1000.0,-1000.0
mp-23189,-1000.0,-1000.0,-1000.0,-1000.0
mp-22996,-1000.0,-1000.0,-1000.0,-1000.0
mp-571096,-1000.0,-1000.0,-1000.0,-1000.0
mp-865301,-1000.0,-1000.0,-1000.0,-1000.0
mp-557523,-1000.0,-1000.0,-1000.0,-1000.0
mp-866214,-1000.0,-1000.0,-1000.0,-1000.0
mp-864982,-1000.0,-1000.0,-1000.0,-1000.0
mp-1023923,-1000.0,-1000.0,-1000.0,-1000.0
mp-644607,32.258064516129004,96.77419354838712,-0.3291507515302297,1.0633206542768774
mp-23176,-1000.0,-1000.0,-1000.0,-1000.0
mp-27257,-1000.0,-1000.0,-1000.0,-1000.0
mp-23184,-1000.0,-1000.0,-1000.0,-1000.0
mp-23158,1000.0,1000.0,-0.3333332349409845,0.0
mp-23275,-1000.0,-1000.0,-1000.0,-1000.0
mp-862983,-1000.0,-1000.0,-1000.0,-1000.0
mp-1025874,-1000.0,-1000.0,-1000.0,-1000.0
mp-865353,-1000.0,-1000.0,-1000.0,-1000.0
mp-30031,-1500.0,-1500.0,-1500.0,-1500.0
mp-865521,-1000.0,-1000.0,-1000.0,-1000.0
mp-25469,-1000.0,-1000.0,-1000.0,-1000.0
mp-676241,-1000.0,-1000.0,-1000.0,-1000.0
mp-25062,-1000.0,-1000.0,-1000.0,-1000.0
mp-865324,-1000.0,-1000.0,-1000.0,-1000.0
mp-23230,-1000.0,-1000.0,-1000.0,-1000.0
mp-610917,-1000.0,-1000.0,-1000.0,-1000.0
mp-555760,-1000.0,-1000.0,-1000.0,-1000.0
mp-70,-1000.0,-1000.0,-1000.0,-1000.0
