,elasticity.poisson_ratio,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill
mp-27726,0.26,2.0,3.0,3.0,5.0,5.0,5.0
mp-27465,0.17,1.0,1.0,1.0,1.0,2.0,2.0
mp-2414,0.29,2.0,3.0,2.0,5.0,5.0,5.0
mp-7572,0.22,47.0,49.0,48.0,66.0,74.0,70.0
mp-8459,0.31,25.0,27.0,26.0,55.0,61.0,58.0
mp-8231,0.29,84.0,85.0,84.0,168.0,168.0,168.0
mp-8137,0.32,36.0,43.0,39.0,98.0,99.0,99.0
mp-8136,0.3,63.0,64.0,63.0,135.0,136.0,135.0
mp-7288,0.29,67.0,68.0,67.0,139.0,140.0,140.0
mp-3519,0.33,50.0,50.0,50.0,130.0,130.0,130.0
mp-8537,0.24,0.0,2.0,1.0,0.0,4.0,2.0
mp-5126,0.3,31.0,33.0,32.0,65.0,71.0,68.0
mp-5625,0.4,10.0,12.0,11.0,37.0,59.0,48.0
mp-7622,0.29,8.0,11.0,10.0,19.0,22.0,20.0
mp-3164,0.34,17.0,20.0,19.0,51.0,52.0,52.0
mp-5285,0.32,24.0,25.0,24.0,58.0,59.0,59.0
mp-3236,0.27,53.0,54.0,53.0,100.0,100.0,100.0
mp-3211,0.28,55.0,56.0,55.0,104.0,105.0,105.0
mp-12669,0.28,65.0,66.0,65.0,125.0,126.0,125.0
mp-1019509,0.16,18.0,32.0,25.0,17.0,40.0,29.0
mp-28711,0.17,7.0,15.0,11.0,10.0,16.0,13.0
mp-28952,0.31,3.0,20.0,12.0,23.0,29.0,26.0
mp-20525,0.31,24.0,27.0,26.0,58.0,63.0,60.0
mp-3556,0.27,69.0,71.0,70.0,128.0,128.0,128.0
mp-27891,0.28,19.0,27.0,23.0,40.0,49.0,44.0
mp-4112,0.35,7.0,8.0,8.0,23.0,24.0,24.0
mp-7787,0.32,57.0,57.0,57.0,137.0,137.0,137.0
mp-562102,0.29,6.0,10.0,8.0,13.0,20.0,16.0
mp-545756,0.44,6.0,10.0,8.0,72.0,72.0,72.0
mp-505782,0.3,10.0,10.0,10.0,21.0,22.0,22.0
mp-3472,0.3,17.0,19.0,18.0,40.0,40.0,40.0
mp-19112,0.27,38.0,40.0,39.0,70.0,77.0,73.0
mp-19198,0.27,40.0,41.0,40.0,69.0,77.0,73.0
mp-5046,0.13,33.0,37.0,35.0,33.0,38.0,36.0
mp-1018030,0.24,30.0,35.0,32.0,51.0,51.0,51.0
mp-4264,0.29,9.0,10.0,10.0,18.0,21.0,19.0
mp-4529,0.29,14.0,15.0,14.0,29.0,29.0,29.0
mp-4556,0.3,19.0,20.0,19.0,42.0,42.0,42.0
mp-4770,0.27,22.0,24.0,23.0,42.0,43.0,43.0
mp-3372,0.28,13.0,13.0,13.0,25.0,25.0,25.0
mp-3307,0.32,18.0,20.0,19.0,46.0,46.0,46.0
mp-542136,0.27,21.0,21.0,21.0,38.0,38.0,38.0
mp-6625,0.3,32.0,35.0,33.0,70.0,75.0,73.0
mp-7112,0.2,43.0,43.0,43.0,57.0,60.0,58.0
mp-6560,0.26,5.0,9.0,7.0,6.0,18.0,12.0
mvc-14991,0.09,73.0,22.0,48.0,41.0,43.0,42.0
mp-11738,0.3,12.0,13.0,13.0,27.0,27.0,27.0
mp-18912,0.3,19.0,21.0,20.0,43.0,44.0,44.0
mp-552028,0.31,49.0,59.0,54.0,125.0,129.0,127.0
mp-548469,0.25,33.0,36.0,35.0,58.0,59.0,58.0
mp-552802,0.29,43.0,48.0,45.0,89.0,93.0,91.0
mp-558432,0.28,14.0,15.0,14.0,27.0,29.0,28.0
mp-555576,0.3,10.0,11.0,11.0,23.0,24.0,23.0
mp-24943,0.24,22.0,27.0,25.0,33.0,45.0,39.0
mp-19027,0.24,20.0,22.0,21.0,34.0,36.0,35.0
mp-7204,0.3,32.0,33.0,32.0,68.0,69.0,69.0
mvc-3224,-0.35,607.0,19.0,313.0,76.0,82.0,79.0
mvc-3245,-0.1,290.0,14.0,152.0,75.0,78.0,77.0
mp-11147,0.34,18.0,19.0,18.0,49.0,54.0,51.0
mp-6179,0.27,18.0,19.0,19.0,35.0,35.0,35.0
mp-10960,0.31,56.0,64.0,60.0,137.0,139.0,138.0
mp-561913,0.21,35.0,38.0,37.0,44.0,60.0,52.0
mp-9453,0.26,40.0,41.0,40.0,64.0,74.0,69.0
