,minLC,maxLC,minNu,maxNu,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill,elasticity.poisson_ratio
mp-7615,1999.9999999999989,3249.999999999999,-1.5000000000000004,-0.5853659915749893,0.7804878048780491,2.000000000000001,3.555555902981376,14.999999983640496,7.0,10.0,9.0,0.0,0.0,0.0,-0.85
mp-13925,333.3333333333331,333.33333333333314,-0.8571428571428574,-0.7700877093414628,7.650000001424507,8.142857142857148,16.999999999999996,28.499993453082112,20.0,21.0,21.0,1.0,1.0,1.0,-0.82
mp-20457,142.85714285714292,142.85714285714295,-0.8571428571428573,-0.771789503563526,17.872340428418692,18.999999999999996,39.999999999999986,66.49998503934368,48.0,51.0,49.0,2.0,2.0,2.0,-0.81
mp-989536,166.66666666666669,166.6666666666667,-0.7824360665656006,-0.7499999999999999,15.0,15.365853658281956,30.000001455346684,35.00000000000001,33.0,33.0,33.0,2.0,2.0,2.0,-0.75
mp-866229,125.00000000000003,125.00000000000006,-0.741935483870968,-0.6511891409861645,18.514285715144524,19.87096774193548,26.999999999999993,38.49999443150342,31.0,32.0,31.0,3.0,3.0,3.0,-0.7
mp-999274,223.68421052631575,302.6315789473684,-0.766075032482753,-0.4661017280094709,7.084745762711865,10.857142857142858,9.835294506198968,14.499999995750654,12.0,12.0,12.0,1.0,1.0,1.0,-0.67
mp-974789,499.9999999999998,499.9999999999999,-0.7500000000000001,-0.7257068558823168,4.909090909122756,5.000000000000003,9.0,9.999999938239739,9.0,9.0,9.0,1.0,1.0,1.0,-0.62
mp-9580,265.3061224489796,306.12244897959175,-0.9444444444442925,-0.2372187493396536,5.916063676719916,10.888888888888891,4.0,16.86021504322468,6.0,10.0,8.0,1.0,1.0,1.0,-0.59
mp-989590,49.999999999999986,49.999999999999986,-0.5833333333333335,-0.5336322953366881,41.53846153963049,43.33333333333334,44.999999999999986,51.9999972531682,47.0,48.0,47.0,7.0,7.0,7.0,-0.55
mp-2739,56.491575817641234,85.23290386521309,-0.7690282704051029,-0.367706257454142,21.82444668008048,43.8695652173913,21.500000042188933,55.999999951797115,33.0,37.0,35.0,5.0,6.0,5.0,-0.54
mp-697133,112.58278145695364,125.82781456953646,-0.5625000000000002,-0.3183999571321841,14.416833672856535,18.875,10.999999999999996,17.539019693882043,14.0,14.0,14.0,2.0,3.0,3.0,-0.47
mp-36508,86.95652173913044,210.14492753623193,-1.0773590675398832,-0.10029520088496932,7.157493703730879,23.0,5.000000025685999,31.99999833619058,9.0,17.0,13.0,2.0,3.0,3.0,-0.45
mp-982773,166.66666666666663,166.66666666666669,-0.5000000000000002,-0.20000000969008205,9.000000001528676,12.0,5.999999999999998,11.999999332989345,7.0,8.0,8.0,2.0,2.0,2.0,-0.4
mp-15639,86.41975308641976,117.28395061728399,-0.5347113762639982,-0.14485012797703545,12.84843194244718,19.96558056133066,8.682550784057971,20.38516477664522,11.0,14.0,13.0,3.0,3.0,3.0,-0.4
mp-1017566,17.543859649122805,17.543859649122805,-0.4958612016504975,-0.2597402597402596,86.6103896103896,109.69811318767968,58.500001386744685,102.00000000000001,79.0,85.0,82.0,19.0,19.0,19.0,-0.38
mp-8224,45.45454545454546,45.45454545454547,-0.6764705882352944,0.26346012682383485,19.16129032688657,51.764705882352935,9.0,79.99996492019359,14.0,37.0,26.0,7.0,7.0,7.0,-0.32
mp-865080,66.66666666666666,66.66666666666667,-0.3491124115840692,-0.28571428571428564,23.57142857142857,25.147058822387354,16.50000073724797,19.000000000000007,18.0,18.0,18.0,5.0,5.0,5.0,-0.3
mp-4051,33.37148894954654,40.23949986792287,-0.5795531992446609,-0.05190592056468846,32.33309608540925,47.843287867413515,19.240999591515646,55.000000000000014,27.0,34.0,31.0,9.0,9.0,9.0,-0.28
mp-21200,22.598870056497177,25.423728813559325,-0.4455550309165904,-0.0714285714285714,50.57142857142857,71.19542190212981,28.52874770804064,64.00000000000001,42.0,47.0,45.0,14.0,14.0,14.0,-0.28
mp-867920,21.187800963081855,27.768860353130012,-0.5663461337490695,-0.0010034882397272399,50.993735712531944,92.85096153846155,25.99999999999999,77.49999993552011,41.0,53.0,47.0,14.0,15.0,15.0,-0.27
mp-989523,39.99999999999999,40.0,-0.30555555555555564,-0.19712073477204764,35.9375000013817,40.27777777777778,22.999999999999993,28.99999957949326,25.0,25.0,25.0,8.0,8.0,8.0,-0.26
mp-8539,57.99999999999999,72.0,-0.7158308742172139,0.5212981645902535,12.170385395537526,38.3480825958702,4.000000004783662,42.71631858032774,10.0,22.0,16.0,5.0,5.0,5.0,-0.26
mp-975380,293.47826086956525,304.34782608695656,-0.7272727272727277,0.4077766127358535,2.3063063140091615,8.363636363636363,1.0,13.723747211680077,1.0,6.0,3.0,1.0,1.0,1.0,-0.26
mp-978493,7.751937984496122,7.7519379844961245,-0.42829999206223013,-0.044444444444444425,140.46666666666667,218.90909082603432,73.50001403954924,168.00000000000006,111.0,130.0,121.0,43.0,43.0,43.0,-0.23
mp-1021516,250.0,250.0,-0.26315787870919954,-0.1999999999999999,5.599999999999999,5.999999998833641,3.5000001485666354,4.000000000000001,4.0,4.0,4.0,1.0,1.0,1.0,-0.21
mp-7621,93.16770186335401,105.59006211180126,-0.40857515815655326,-0.04080971452409667,12.384615384615383,16.10337160258366,6.719223600530429,13.000000000000004,9.0,10.0,10.0,4.0,4.0,4.0,-0.2
mp-6945,19.409684439608274,25.340043525571275,-0.5203552623548694,0.024886848195921088,46.94763729246488,71.0918035559274,26.99467602368964,72.00000000000003,37.0,46.0,41.0,16.0,16.0,16.0,-0.2
mp-999052,15.625,15.625,-0.4128440198290751,0.0,64.0,104.85106378431685,32.00000635060453,77.00000000000001,49.0,59.0,54.0,21.0,21.0,21.0,-0.19
