,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-7615,1999.9999999999989,3249.999999999999,-1.5000000000000004,-0.5853659915749893,0.0,0.7804878048780491,2.000000000000001,3.555555902981376,14.999999983640496,-0.85
mp-13925,333.3333333333331,333.33333333333314,-0.8571428571428574,-0.7700877093414628,1.0,7.650000001424507,8.142857142857148,16.999999999999996,28.499993453082112,-0.82
mp-20457,142.85714285714292,142.85714285714295,-0.8571428571428573,-0.771789503563526,2.0,17.872340428418692,18.999999999999996,39.999999999999986,66.49998503934368,-0.81
mp-999274,223.68421052631575,302.6315789473684,-0.766075032482753,-0.4661017280094709,1.0,7.084745762711865,10.857142857142858,9.835294506198968,14.499999995750654,-0.67
mp-9580,265.3061224489796,306.12244897959175,-0.9444444444442925,-0.2372187493396536,1.0,5.916063676719916,10.888888888888891,4.0,16.86021504322468,-0.59
mp-2739,56.491575817641234,85.23290386521309,-0.7690282704051029,-0.367706257454142,5.0,21.82444668008048,43.8695652173913,21.500000042188933,55.999999951797115,-0.54
mp-697133,112.58278145695364,125.82781456953646,-0.5625000000000002,-0.3183999571321841,3.0,14.416833672856535,18.875,10.999999999999996,17.539019693882043,-0.47
mp-15639,86.41975308641976,117.28395061728399,-0.5347113762639982,-0.14485012797703545,3.0,12.84843194244718,19.96558056133066,8.682550784057971,20.38516477664522,-0.4
mp-1017566,17.543859649122805,17.543859649122805,-0.4958612016504975,-0.2597402597402596,19.0,86.6103896103896,109.69811318767968,58.500001386744685,102.00000000000001,-0.38
mp-8224,45.45454545454546,45.45454545454547,-0.6764705882352944,0.26346012682383485,7.0,19.16129032688657,51.764705882352935,9.0,79.99996492019359,-0.32
mp-4051,33.37148894954654,40.23949986792287,-0.5795531992446609,-0.05190592056468846,9.0,32.33309608540925,47.843287867413515,19.240999591515646,55.000000000000014,-0.28
mp-21200,22.598870056497177,25.423728813559325,-0.4455550309165904,-0.0714285714285714,14.0,50.57142857142857,71.19542190212981,28.52874770804064,64.00000000000001,-0.28
