,elasticity.poisson_ratio,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill
mp-23505,-1.13,7.0,7.0,7.0,-0.0,-0.0,-0.0
mp-973265,-0.95,30.0,1.0,16.0,0.0,0.0,0.0
mp-7615,-0.85,7.0,10.0,9.0,0.0,0.0,0.0
mp-974882,-0.85,25.0,1.0,13.0,0.0,0.0,0.0
mp-975053,-0.84,228.0,2.0,115.0,5.0,5.0,5.0
mp-13925,-0.82,20.0,21.0,21.0,1.0,1.0,1.0
mp-20457,-0.81,48.0,51.0,49.0,2.0,2.0,2.0
mp-570172,-0.76,4.0,5.0,5.0,-0.0,1.0,0.0
mp-569028,-0.76,27.0,1.0,14.0,1.0,1.0,1.0
mp-989536,-0.75,33.0,33.0,33.0,2.0,2.0,2.0
mp-866229,-0.7,31.0,32.0,31.0,3.0,3.0,3.0
mp-999274,-0.67,12.0,12.0,12.0,1.0,1.0,1.0
mp-974789,-0.62,9.0,9.0,9.0,1.0,1.0,1.0
mp-9580,-0.59,6.0,10.0,8.0,1.0,1.0,1.0
mp-989590,-0.55,47.0,48.0,47.0,7.0,7.0,7.0
mp-766949,-0.55,187.0,2.0,94.0,13.0,14.0,14.0
mp-2739,-0.54,33.0,37.0,35.0,5.0,6.0,5.0
mp-10148,-0.53,593.0,4.0,299.0,45.0,45.0,45.0
mp-697133,-0.47,14.0,14.0,14.0,2.0,3.0,3.0
mp-36508,-0.45,9.0,17.0,13.0,2.0,3.0,3.0
mp-631553,-0.41,467.0,4.0,236.0,51.0,51.0,51.0
mp-982773,-0.4,7.0,8.0,8.0,2.0,2.0,2.0
mp-15639,-0.4,11.0,14.0,13.0,3.0,3.0,3.0
mp-1017566,-0.38,79.0,85.0,82.0,19.0,19.0,19.0
mvc-12031,-0.35,614.0,33.0,324.0,82.0,84.0,83.0
mp-636056,-0.34,58.0,3.0,31.0,7.0,9.0,8.0
mp-1039293,-0.33,443.0,5.0,224.0,69.0,52.0,60.0
mp-8224,-0.32,14.0,37.0,26.0,7.0,7.0,7.0
mp-865080,-0.3,18.0,18.0,18.0,5.0,5.0,5.0
mp-984051,-0.29,162.0,6.0,84.0,25.0,25.0,25.0
mp-4051,-0.28,27.0,34.0,31.0,9.0,9.0,9.0
mp-21200,-0.28,42.0,47.0,45.0,14.0,14.0,14.0
mp-21206,-0.28,193.0,5.0,99.0,31.0,31.0,31.0
mp-867920,-0.27,41.0,53.0,47.0,14.0,15.0,15.0
mp-989523,-0.26,25.0,25.0,25.0,8.0,8.0,8.0
mp-8539,-0.26,10.0,22.0,16.0,5.0,5.0,5.0
mp-975380,-0.26,1.0,6.0,3.0,1.0,1.0,1.0
mp-568258,-0.26,636.0,17.0,326.0,107.0,107.0,107.0
mp-567772,-0.25,41.0,2.0,21.0,7.0,7.0,7.0
mp-1021779,-0.24,234.0,24.0,129.0,43.0,46.0,44.0
mp-756473,-0.24,5.0,0.0,3.0,1.0,1.0,1.0
mp-12628,-0.24,16.0,0.0,8.0,3.0,3.0,3.0
mp-977403,-0.23,44.0,3.0,23.0,6.0,10.0,8.0
mp-978493,-0.23,111.0,130.0,121.0,43.0,43.0,43.0
mp-973738,-0.23,769.0,31.0,400.0,141.0,141.0,141.0
mp-972751,-0.21,483.0,7.0,245.0,90.0,90.0,90.0
mp-1021516,-0.21,4.0,4.0,4.0,1.0,1.0,1.0
mp-622693,-0.2,800.0,51.0,425.0,161.0,161.0,161.0
mp-7621,-0.2,9.0,10.0,10.0,4.0,4.0,4.0
mp-6945,-0.2,37.0,46.0,41.0,16.0,16.0,16.0
mp-999052,-0.19,49.0,59.0,54.0,21.0,21.0,21.0
mp-862769,-0.18,8.0,13.0,10.0,2.0,6.0,4.0
mp-867838,-0.16,351.0,7.0,179.0,74.0,80.0,77.0
mp-685935,-0.15,256.0,16.0,136.0,58.0,60.0,59.0
mp-27294,-0.15,28.0,31.0,30.0,13.0,13.0,13.0
mp-29663,-0.15,650.0,18.0,334.0,145.0,145.0,145.0
mp-36248,-0.15,8.0,9.0,8.0,4.0,4.0,4.0
mp-989580,-0.14,23.0,23.0,23.0,11.0,11.0,11.0
mp-865168,-0.14,509.0,107.0,308.0,138.0,138.0,138.0
mp-1008752,-0.14,15.0,25.0,20.0,9.0,9.0,9.0
mp-975383,-0.14,4.0,8.0,6.0,3.0,3.0,3.0
