,elasticity.poisson_ratio,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill
mp-13181,-0.76,17.0,1984.0,1000.0,63.0,63.0,63.0
mp-973434,-0.27,1026.0,21.0,524.0,167.0,167.0,167.0
mp-7723,-0.6,1114.0,24.0,569.0,67.0,69.0,68.0
mp-1008688,-0.66,1238.0,8.0,623.0,60.0,60.0,60.0
mp-862714,-0.32,1257.0,110.0,684.0,190.0,191.0,190.0
mp-976406,-0.41,1708.0,30.0,869.0,188.0,188.0,188.0
mp-999135,-0.52,1926.0,44.0,985.0,141.0,170.0,155.0
mp-754542,-0.76,1995.0,11.0,1003.0,63.0,64.0,64.0
mp-702,-0.96,2457.0,7.0,1232.0,12.0,12.0,12.0
mp-73,-0.7,2562.0,13.0,1287.0,105.0,105.0,105.0
mp-999002,-0.52,2871.0,21.0,1446.0,224.0,224.0,224.0
mp-864844,-0.83,6593.0,25.0,3309.0,144.0,144.0,144.0
mp-631409,-0.79,10574.0,31.0,5303.0,289.0,289.0,289.0
