,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-975380,293.47826086956525,304.34782608695656,-0.7272727272727277,0.4077766127358535,1.0,2.306306314009161,8.363636363636363,1.0,13.723747211680074,-0.26
mp-1002083,79.54545454545455,215.9090909090909,-0.5728155297140954,0.2319985576264817,3.0,4.943820224719102,17.6,2.5000000032776346,8.999955892643412,-0.06
mp-962075,66.66666666666664,66.6666666666667,-0.7721518486840215,1.012658227188366,5.0,4.090909090909091,28.124999941046077,1.5000000783737608,25.00000000000001,-0.09
mp-1021516,250.0,250.0,-0.26315787870919954,-0.1999999999999999,1.0,5.599999999999999,5.999999998833642,3.5000001485666354,4.000000000000001,-0.21
mp-975383,142.85714285714286,142.85714285714292,-0.5942028671515607,0.31884057727907394,3.0,4.666666666666666,12.833333318074894,2.00000055567794,11.000000000000005,-0.14
mp-571124,76.92307692307693,76.92307692307695,-0.4347826086956525,0.4768823954421336,4.0,7.312500003473402,24.304347826086953,2.9999999999999987,21.499992630460735,-0.06
mvc-7054,624.9999999999992,2249.999999999997,-1.9999999999999991,-0.243902439042084,1.0,0.975609756097562,8.000000000000005,1.5384616762510157,11.499999975880351,-0.66
mp-9580,265.3061224489796,306.12244897959175,-0.9444444444442924,-0.2372187493396536,1.0,5.916063676719916,10.888888888888893,4.0,16.86021504322468,-0.59
mp-8936,104.54545454545452,436.3636363636363,-2.188679188876125,0.1518318821556132,6.0,3.2352941176470584,34.393530997304595,4.346871967069684,28.999877767253338,-0.06
mp-982773,166.66666666666663,166.66666666666669,-0.5000000000000002,-0.20000000969008205,2.0,9.000000001528676,12.0,5.999999999999997,11.999999332989345,-0.4
mp-7615,1999.9999999999989,3249.9999999999986,-1.5000000000000004,-0.5853659915749893,0.0,0.7804878048780491,2.000000000000001,3.555555902981377,14.999999983640494,-0.85
mp-2639,71.42857142857143,71.42857142857143,-0.4615384615384616,0.2962962675322514,5.0,11.05263158337389,26.923076923076927,4.999999999999998,24.99999444157877,-0.13
mp-862769,61.40350877192983,201.75438596491242,-1.2500000000000009,-0.16666666667920324,4.0,7.599999999999998,57.0,6.0000000003469305,9.499999999999758,-0.18
mp-36248,90.9090909090909,90.90909090909092,-0.31250000000000017,0.06319701011833724,4.0,11.64705882628648,17.875,5.999999999999997,12.999999156972644,-0.15
mp-974789,499.99999999999983,499.99999999999983,-0.7500000000000001,-0.7257068558823168,1.0,4.909090909122756,5.000000000000003,9.0,9.99999993823974,-0.62
mp-7621,93.167701863354,105.59006211180126,-0.4085751581565533,-0.040809714524096666,4.0,12.384615384615385,16.10337160258366,6.719223600530429,13.000000000000005,-0.2
mp-36508,86.95652173913044,210.14492753623196,-1.0773590675398832,-0.10029520088496932,3.0,7.157493703730879,23.0,5.000000025685999,31.999998336190576,-0.45
mp-9056,-18.072289156626503,84.33734939759039,-1.0028659415151804,0.8471812974646066,9.0,11.911015496666884,52.82515009085321,5.325149693382033,39.41382983263225,-0.03
mp-8539,57.99999999999999,72.0,-0.7158308742172139,0.5212981645902535,5.0,12.170385395537524,38.3480825958702,4.000000004783662,42.716318580327744,-0.26
mp-766784,33.547387114168565,71.86474580179565,-0.4272955225812785,0.3044562950434812,6.0,13.323762561254453,33.338334252442685,6.465159008688184,18.89941388745747,-0.04
mp-775001,40.51100998152772,67.83671261345987,-0.3755697775514549,0.1570426291939558,7.0,15.694209059057178,27.9898167080737,8.883231117595153,19.01835014449245,-0.06
mp-15639,86.41975308641977,117.28395061728399,-0.5347113762639982,-0.14485012797703545,3.0,12.848431942447181,19.965580561330658,8.682550784057971,20.38516477664522,-0.4
mp-774922,25.93156638484551,88.79012614796032,-0.5876800860629638,0.12223593263458925,6.0,13.684038612318089,45.6760114742011,8.813153696178235,25.4763571763422,-0.12
mp-985285,47.61904761904761,47.61904761904761,-0.1923076923076924,0.15068491553306312,7.0,18.90000000236016,29.07692307692308,9.0,17.999998999484013,-0.05
mp-999274,223.68421052631572,302.6315789473684,-0.766075032482753,-0.4661017280094709,1.0,7.084745762711865,10.857142857142858,9.835294506198967,14.499999995750654,-0.67
mp-989532,45.45454545454545,45.45454545454547,-0.31250000000000017,0.15322568280107055,7.0,20.625000023747717,35.75,9.999999999999996,25.999997687696474,-0.11
