,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-772598,18.587360594795534,1148.6988847583646,-5.495636243620858,-0.013278535112747528,33.0,0.8936877076411961,250.11546930724307,0.9147194938898492,117.03772242135952,0.13
mp-1021516,250.0,250.0,-0.26315787870919954,-0.1999999999999999,1.0,5.599999999999999,5.999999998833642,3.5000001485666354,4.000000000000001,-0.21
mvc-7054,624.9999999999992,2249.999999999997,-1.9999999999999991,-0.243902439042084,1.0,0.975609756097562,8.000000000000005,1.5384616762510157,11.499999975880351,-0.66
mp-9580,265.3061224489796,306.12244897959175,-0.9444444444442924,-0.2372187493396536,1.0,5.916063676719916,10.888888888888893,4.0,16.86021504322468,-0.59
mp-982773,166.66666666666663,166.66666666666669,-0.5000000000000002,-0.20000000969008205,2.0,9.000000001528676,12.0,5.999999999999997,11.999999332989345,-0.4
mp-7615,1999.9999999999989,3249.9999999999986,-1.5000000000000004,-0.5853659915749893,0.0,0.7804878048780491,2.000000000000001,3.555555902981377,14.999999983640494,-0.85
mp-862769,61.40350877192983,201.75438596491242,-1.2500000000000009,-0.16666666667920324,4.0,7.599999999999998,57.0,6.0000000003469305,9.499999999999758,-0.18
mp-974789,499.99999999999983,499.99999999999983,-0.7500000000000001,-0.7257068558823168,1.0,4.909090909122756,5.000000000000003,9.0,9.99999993823974,-0.62
mp-7621,93.167701863354,105.59006211180126,-0.4085751581565533,-0.040809714524096666,4.0,12.384615384615385,16.10337160258366,6.719223600530429,13.000000000000005,-0.2
mp-36508,86.95652173913044,210.14492753623196,-1.0773590675398832,-0.10029520088496932,3.0,7.157493703730879,23.0,5.000000025685999,31.999998336190576,-0.45
mp-15639,86.41975308641977,117.28395061728399,-0.5347113762639982,-0.14485012797703545,3.0,12.848431942447181,19.965580561330658,8.682550784057971,20.38516477664522,-0.4
mp-999274,223.68421052631572,302.6315789473684,-0.766075032482753,-0.4661017280094709,1.0,7.084745762711865,10.857142857142858,9.835294506198967,14.499999995750654,-0.67
mp-697133,112.58278145695364,125.82781456953646,-0.5625000000000002,-0.3183999571321841,3.0,14.416833672856535,18.875,10.999999999999995,17.539019693882047,-0.47
mp-27718,45.45454545454545,45.45454545454547,-0.1538461538461539,-0.05793451326470001,7.0,25.666666675182352,28.76923076923077,13.999999999999998,16.999998762955492,-0.12
mp-865080,66.66666666666666,66.66666666666667,-0.3491124115840692,-0.28571428571428564,5.0,23.57142857142857,25.147058822387358,16.50000073724797,19.000000000000007,-0.3
mp-13925,333.33333333333314,333.3333333333332,-0.8571428571428574,-0.7700877093414628,1.0,7.650000001424508,8.142857142857148,16.999999999999996,28.49999345308211,-0.82
mp-7961,30.303030303030305,30.303030303030308,-0.08333333333333355,-0.08333333333333323,11.0,38.49999999999999,38.50000000000001,21.0,21.00000000000001,-0.09
mp-989580,31.25,31.25000000000001,-0.17948717948717954,-0.06504961928029651,11.0,38.03773586372097,43.48717948717948,21.0,26.49999961421901,-0.14
mp-989523,39.99999999999999,40.0,-0.30555555555555564,-0.19712073477204764,8.0,35.9375000013817,40.27777777777778,22.999999999999996,28.99999957949326,-0.26
mp-4051,33.37148894954654,40.239499867922866,-0.5795531992446609,-0.051905920564688464,9.0,32.33309608540925,47.84328786741352,19.24099959151565,55.00000000000002,-0.28
mp-631316,19.230769230769226,19.230769230769237,-0.054545454545454564,-0.046301864522624664,17.0,57.07317073332205,57.672727272727286,29.99999999999999,30.499999971744685,-0.05
mp-866229,125.00000000000004,125.00000000000006,-0.7419354838709681,-0.6511891409861645,3.0,18.514285715144524,19.87096774193548,26.999999999999996,38.49999443150342,-0.7
mp-2739,56.49157581764123,85.23290386521309,-0.7690282704051029,-0.36770625745414204,5.0,21.82444668008048,43.8695652173913,21.500000042188937,55.999999951797115,-0.54
mp-989536,166.66666666666669,166.66666666666669,-0.7824360665656006,-0.7499999999999999,2.0,15.0,15.365853658281956,30.000001455346684,35.00000000000001,-0.75
mp-867920,21.187800963081852,27.768860353130012,-0.5663461337490695,-0.00100348823972724,15.0,50.99373571253194,92.85096153846158,25.99999999999999,77.49999993552011,-0.27
mp-21200,22.598870056497177,25.423728813559322,-0.4455550309165904,-0.0714285714285714,14.0,50.57142857142857,71.19542190212981,28.528747708040644,64.00000000000001,-0.28
mp-989590,49.99999999999999,49.99999999999999,-0.5833333333333335,-0.5336322953366881,7.0,41.5384615396305,43.33333333333334,44.99999999999999,51.9999972531682,-0.55
mp-20457,142.85714285714292,142.85714285714297,-0.8571428571428573,-0.7717895035635258,2.0,17.872340428418692,19.0,39.99999999999999,66.49998503934368,-0.81
mp-1025524,6.148155553333996,12.0963710886734,-0.19893705191238534,-0.02452581805071266,44.0,99.03960396039604,198.9967331415477,67.99999999999999,101.99999999993256,-0.07
mp-1017566,17.543859649122805,17.543859649122805,-0.4958612016504975,-0.2597402597402596,19.0,86.61038961038959,109.6981131876797,58.50000138674469,102.0,-0.38
mp-1008282,8.771929824561402,8.771929824561402,-0.24603946789230385,-0.042016806722689065,38.0,123.57983193277308,158.09433959264274,64.50000122554708,98.00000000000004,-0.13
mp-978493,7.751937984496123,7.7519379844961245,-0.4282999920622301,-0.044444444444444425,43.0,140.46666666666667,218.90909082603432,73.50001403954924,168.00000000000006,-0.23
mp-10056,5.5972119547998735,5.676417784348928,-0.1862673483912192,-0.06382978723404252,59.0,201.46808510638297,230.08529682478385,113.0205159809828,135.99999999952234,-0.13
