,minLC,maxLC,minNu,maxNu,elasticity.K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.poisson_ratio,lvpa,cepa,group1,atomic_mass1,atomicRadius1,rowH1A,rowHn3A,xH4A,xHn4A,cohesive_energy,average_electroneg,bandgap,density,formation_energy-peratom,e_above_hull
mp-1021516,250.0,250.0,-0.26315787870919954,-0.1999999999999999,1.0,5.599999999999999,5.999999998833642,3.5000001485666354,4.000000000000001,4.0,4.0,4.0,1.0,1.0,-0.21,1.7312446588831665,-1.5762963666666665,5.333333333333333,65.63553333333333,1.9500000000000002,4.333333333333333,4.2438549442093665,1.5115844678226158,0.9040368830926878,1.57049337,1.2,0.0,2.023687504807769,0.07594237633333349,0.2705845146250003
mp-9580,265.3061224489796,306.12244897959175,-0.9444444444442924,-0.2372187493396536,1.0,5.916063676719916,10.888888888888893,4.0,16.86021504322468,6.0,10.0,8.0,1.0,1.0,-0.59,1.4415528625690182,-3.0966694475,14.5,108.006575,1.375,4.5,4.266494999335335,2.2481854278485036,1.9344214922615977,3.1125477475000003,2.1325000000000003,0.5599000000000003,6.488531574027815,-0.5629957980468752,0.01858795812500036
mp-982773,166.66666666666663,166.66666666666669,-0.5000000000000002,-0.20000000969008205,2.0,9.000000001528676,12.0,5.999999999999997,11.999999332989345,7.0,8.0,8.0,2.0,2.0,-0.4,1.488080875982413,-1.4077806874999998,4.0,68.33815196,1.8250000000000002,3.75,3.2573011399138876,1.229198708413997,0.9905043100611838,1.4084696499999998,1.1025,0.0,3.68834421385657,-0.06377723712500005,0.004344086375000167
mp-862769,61.40350877192983,201.75438596491242,-1.2500000000000009,-0.16666666667920324,4.0,7.599999999999998,57.0,6.0000000003469305,9.499999999999758,8.0,13.0,10.0,2.0,6.0,-0.18,1.4804664689494649,-3.01735667,10.75,75.84695,1.525,4.25,4.177295062787412,1.8748185856075674,1.1367419202552538,3.0037582225,1.7125,0.0,4.166014171393864,0.01187450866379347,0.12700416048108565
mp-974789,499.99999999999983,499.99999999999983,-0.7500000000000001,-0.7257068558823168,1.0,4.909090909122756,5.000000000000003,9.0,9.99999993823974,9.0,9.0,9.0,1.0,1.0,-0.62,1.7037318189877606,-1.3765222375,4.25,93.77834999999999,2.125,5.0,4.999999999999999,1.4167315507468357,0.878912028529585,1.3729642325,1.105,0.0,3.0804903930212655,0.04256493349137935,0.17190546170258614
mp-7621,93.167701863354,105.59006211180126,-0.4085751581565533,-0.040809714524096666,4.0,12.384615384615385,16.10337160258366,6.719223600530429,13.000000000000005,9.0,10.0,10.0,4.0,4.0,-0.2,1.26216130375237,-5.650555179166667,12.0,33.51598333333334,0.9916666666666667,2.8333333333333335,2.2544656659593905,3.1269315038058676,1.2685337018276113,5.756859217500001,2.7466666666666666,3.1907,3.0432648685744006,-2.175502851333333,0.0
mp-36508,86.95652173913044,210.144927536232,-1.0773590675398832,-0.10029520088496932,3.0,7.157493703730879,23.0,5.000000025685999,31.999998336190576,9.0,17.0,13.0,2.0,3.0,-0.45,1.2423872144008201,-3.54366728375,16.0,54.1613024,0.74375,2.875,2.1890655724303905,3.722581508302252,2.6839272941266556,3.5389498375,3.48,2.4354999999999998,5.146962158648031,-2.4299216002675004,0.0
mp-15639,86.41975308641977,117.28395061728399,-0.5347113762639982,-0.14485012797703545,3.0,12.848431942447181,19.965580561330658,8.682550784057971,20.38516477664522,11.0,14.0,13.0,3.0,3.0,-0.4,1.1762104944068401,-3.22487547,15.375,52.1857399,0.73125,2.875,2.1890655724303905,3.7299895848627953,2.8374524144187947,3.26983977125,3.52,0.0,5.775511347328114,-1.8076231521425,0.0
mp-999274,223.6842105263157,302.6315789473684,-0.766075032482753,-0.4661017280094709,1.0,7.084745762711865,10.857142857142858,9.835294506198967,14.499999995750654,12.0,12.0,12.0,1.0,1.0,-0.67,1.3391454366673263,-1.6702279125000001,1.0,27.61836232,1.1625,2.5,1.25060339843316,1.861707525533236,1.0242818879883644,1.6715714375000001,1.5375,2.1378,2.100397905699928,-0.12481227052120714,0.1049979750000003
mp-697133,112.58278145695364,125.82781456953646,-0.5625000000000002,-0.3183999571321841,3.0,14.416833672856535,18.875,10.999999999999995,17.539019693882047,14.0,14.0,14.0,2.0,3.0,-0.47,1.3764528371761062,-2.107045472857143,1.1428571428571428,44.274380542857145,1.1428571428571428,2.8571428571428568,1.2025825043784761,1.9217867130027328,1.026464882529828,2.1089378114285715,1.625714285714286,3.0532999999999997,3.0899307538523257,-0.40528309348482744,0.0
